movie_id,title,industry,language,genres,main_actor,director,release_year,rating_avg,popularity_score,description,poster_url
1,Pushpa 2 ,South Indian,Tamil,Fantasy|Action,Ram Charan,S.S. Rajamouli,2022,4.0,74,"Magic, myth, and courage collide in a battle for an ancient kingdom.",https://movieposters.example.com/poster_1.jpg
2,Adipurush 3 ,South Indian,Telugu,Romance|Drama,Dhanush,Mani Ratnam,2014,4.3,68,A heartwarming love story that transcends time and distance.,https://movieposters.example.com/poster_2.jpg
3,Sarileru Legacy ,South Indian,Tamil,Sci-Fi|Thriller,Prabhas,Shankar,2018,3.6,63,A mind-bending science fiction adventure that questions the nature of reality.,https://movieposters.example.com/poster_3.jpg
4,Mirchi Rising ,South Indian,Tamil,Romance|Drama,Kamal Haasan,Shankar,2007,4.6,85,Two souls find unexpected love in the most unlikely circumstances.,https://movieposters.example.com/poster_4.jpg
5,Maharshi Legacy ,South Indian,Tamil,Drama|Romance,Ram Charan,S.S. Rajamouli,2008,3.7,57,"A deeply moving tale of family, sacrifice, and redemption.",https://movieposters.example.com/poster_5.jpg
6,Srimanthudu Legacy ,South Indian,Tamil,Drama|Romance,Kamal Haasan,Gautham Menon,2018,3.1,48,"Real emotions, real struggles — a story that will stay with you forever.",https://movieposters.example.com/poster_6.jpg
7,Vettai Rising ,South Indian,Telugu,Crime|Thriller,Ajith Kumar,Atlee,2003,3.1,61,A sharp detective must outsmart a criminal mastermind before time runs out.,https://movieposters.example.com/poster_7.jpg
8,Thalapathy Storm ,South Indian,Telugu,Romance|Drama,Dhanush,Shankar,2021,2.4,25,Two souls find unexpected love in the most unlikely circumstances.,https://movieposters.example.com/poster_8.jpg
9,Pushpa War ,South Indian,Telugu,Sci-Fi|Fantasy,Allu Arjun,S.S. Rajamouli,2006,3.4,50,A mind-bending science fiction adventure that questions the nature of reality.,https://movieposters.example.com/poster_9.jpg
10,Vikram War ,South Indian,Telugu,Sci-Fi|Action,Rajinikanth,Murugadoss,2014,3.0,55,Humanity's last hope lies in a mission beyond the stars.,https://movieposters.example.com/poster_10.jpg
11,Julayi 2 ,South Indian,Tamil,Romance|Drama,Vijay,Mani Ratnam,2000,4.6,96,A heartwarming love story that transcends time and distance.,https://movieposters.example.com/poster_11.jpg
12,Salaar Returns ,South Indian,Telugu,Crime|Drama,Dhanush,Lokesh Kanagaraj,2006,3.1,58,A gritty crime drama where law and corruption collide in the shadows.,https://movieposters.example.com/poster_12.jpg
