review_id,user_id,movie_id,review_text,sentiment
1,241,457,Mixed feelings about this one. Has its moments but falls short.,neutral
2,40,65,Mixed feelings about this one. Has its moments but falls short.,neutral
3,328,60,Watchable once but nothing particularly extraordinary about it.,neutral
4,15,268,Heart-touching story with incredible acting. A film for the ages.,positive
5,281,349,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
6,340,167,Fantastic movie with brilliant performances from the entire cast.,positive
7,187,369,Good acting but the story could have been developed much better.,neutral
8,315,299,Decent movie but not the best I have seen this year. Average overall.,neutral
9,226,390,This is what cinema is all about. Scarlett Johansson at his absolute best.,positive
10,331,463,Brilliant direction by Zack Snyder. A true masterpiece of cinema.,positive
11,407,113,This movie completely blew my mind. Murugadoss is a true genius.,positive
12,186,70,Brilliant direction by S.S. Rajamouli. A true masterpiece of cinema.,positive
13,408,268,This movie completely blew my mind. J.J. Abrams is a true genius.,positive
14,383,133,Not bad but had some noticeable pacing issues in the second half.,neutral
15,217,32,Ajith Kumar was good but the screenplay really needed more work overall.,neutral
16,385,233,One of the most enjoyable films of the year. Simply superb work!,positive
17,1,486,Watchable once but nothing particularly extraordinary about it.,neutral
18,316,172,Some brilliant scenes but overall just average cinema fare.,neutral
19,78,211,Great entertainment with a strong emotional core. Highly loved it.,positive
20,261,498,Henry Cavill was magnetic on screen. Could not take my eyes off the film.,positive
21,286,220,Waste of a good cast on a poorly written and badly executed story.,negative
22,478,358,Not bad but had some noticeable pacing issues in the second half.,neutral
23,323,2,Dhanush delivered a career-best performance. An absolute must-watch!,positive
24,488,120,The first half was engaging but the second half lost momentum.,neutral
25,66,437,Some brilliant scenes but overall just average cinema fare.,neutral
26,229,208,It was okay. Some parts were good but the film felt a bit too long.,neutral
27,48,414,Great entertainment with a strong emotional core. Highly loved it.,positive
28,103,176,Fantastic movie with brilliant performances from the entire cast.,positive
29,215,95,Okay for a one-time watch. Nothing very memorable about the story.,neutral
30,466,444,Watched it twice already and loved it both times. Pure gold!,positive
31,27,104,Heart-touching story with incredible acting. A film for the ages.,positive
32,224,404,It was okay. Some parts were good but the film felt a bit too long.,neutral
33,347,383,Heart-touching story with incredible acting. A film for the ages.,positive
34,447,254,Mixed feelings about this one. Has its moments but falls short.,neutral
35,170,293,Heart-touching story with incredible acting. A film for the ages.,positive
36,442,51,Terrible pacing and very weak characters. Would not recommend to anyone.,negative
37,300,79,One of the best films I have seen in years. Highly recommended to everyone!,positive
38,356,201,Zoya Akhtar tried something different but it did not fully work out.,neutral
39,433,456,Average entertainer. Will appeal to fans of Ezra Miller mostly.,neutral
40,4,291,Not bad but not great either. Just a regular commercial movie.,neutral
41,75,355,Okay for a one-time watch. Nothing very memorable about the story.,neutral
42,5,142,The first half was engaging but the second half lost momentum.,neutral
43,14,108,Okay for a one-time watch. Nothing very memorable about the story.,neutral
44,6,274,One of the best films I have seen in years. Highly recommended to everyone!,positive
45,250,45,One of the most enjoyable films of the year. Simply superb work!,positive
46,121,363,Fantastic movie with brilliant performances from the entire cast.,positive
47,242,63,One of the best films I have seen in years. Highly recommended to everyone!,positive
48,177,414,Great entertainment with a strong emotional core. Highly loved it.,positive
49,192,221,Great entertainment with a strong emotional core. Highly loved it.,positive
50,364,210,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
51,440,54,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
52,390,243,Decent movie but not the best I have seen this year. Average overall.,neutral
53,238,265,Good acting but the story could have been developed much better.,neutral
54,467,422,One of the most enjoyable films of the year. Simply superb work!,positive
55,246,310,Robert Downey Jr was magnetic on screen. Could not take my eyes off the film.,positive
56,24,250,The first half was engaging but the second half lost momentum.,neutral
57,15,70,Jr NTR delivered a career-best performance. An absolute must-watch!,positive
58,241,411,Robert Downey Jr delivered a career-best performance. An absolute must-watch!,positive
59,21,191,Decent movie but not the best I have seen this year. Average overall.,neutral
60,2,93,Watched it twice already and loved it both times. Pure gold!,positive
61,261,300,Chris Evans delivered a career-best performance. An absolute must-watch!,positive
62,47,338,Okay for a one-time watch. Nothing very memorable about the story.,neutral
63,10,457,Watched it twice already and loved it both times. Pure gold!,positive
64,173,288,Good acting but the story could have been developed much better.,neutral
65,112,442,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
66,207,277,The story was gripping from start to finish. Loved every single minute.,positive
67,196,395,Left the theater midway. That should say everything about this film.,negative
68,249,450,One of the best films I have seen in years. Highly recommended to everyone!,positive
69,428,212,Some brilliant scenes but overall just average cinema fare.,neutral
70,292,203,This is what cinema is all about. Aamir Khan at his absolute best.,positive
71,70,219,Shah Rukh Khan delivered a career-best performance. An absolute must-watch!,positive
72,89,263,Not worth watching at all. Save your time and skip this completely.,negative
73,414,363,Fantastic movie with brilliant performances from the entire cast.,positive
74,148,425,Chris Evans tried hard but the script was absolutely terrible to work with.,negative
75,411,41,Fantastic movie with brilliant performances from the entire cast.,positive
76,240,413,Watched it twice already and loved it both times. Pure gold!,positive
77,59,60,Vikram was magnetic on screen. Could not take my eyes off the film.,positive
78,355,342,Watched it twice already and loved it both times. Pure gold!,positive
79,500,294,Dwayne Johnson was good but the screenplay really needed more work overall.,neutral
80,193,229,Decent effort from the team but falls short of high expectations.,neutral
81,274,275,Watched it twice already and loved it both times. Pure gold!,positive
82,152,42,Ram Charan was magnetic on screen. Could not take my eyes off the film.,positive
83,59,403,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
84,339,38,Allu Arjun was magnetic on screen. Could not take my eyes off the film.,positive
85,229,124,Okay for a one-time watch. Nothing very memorable about the story.,neutral
86,413,154,Great entertainment with a strong emotional core. Highly loved it.,positive
87,210,456,Not bad but had some noticeable pacing issues in the second half.,neutral
88,324,23,Great entertainment with a strong emotional core. Highly loved it.,positive
89,219,173,Mixed feelings about this one. Has its moments but falls short.,neutral
90,66,245,This movie completely blew my mind. Kabir Khan is a true genius.,positive
91,462,223,Terrible pacing and very weak characters. Would not recommend to anyone.,negative
92,82,313,This movie completely blew my mind. Denis Villeneuve is a true genius.,positive
93,122,225,Watched it twice already and loved it both times. Pure gold!,positive
94,191,397,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
95,467,187,One of the most enjoyable films of the year. Simply superb work!,positive
96,406,60,This is what cinema is all about. Vikram at his absolute best.,positive
97,448,367,Absolutely loved this movie! Tom Holland was outstanding in every scene.,positive
98,26,466,Great entertainment with a strong emotional core. Highly loved it.,positive
99,331,284,Disappointing film. Expected much more from Ridley Scott after his previous work.,negative
100,102,369,Watchable once but nothing particularly extraordinary about it.,neutral
101,328,343,Terrible pacing and very weak characters. Would not recommend to anyone.,negative
102,470,334,Tom Cruise delivered a career-best performance. An absolute must-watch!,positive
103,65,436,A cinematic experience like no other. David F. Sandberg outdid himself completely.,positive
104,16,172,One of the most enjoyable films of the year. Simply superb work!,positive
105,471,335,Not bad but had some noticeable pacing issues in the second half.,neutral
106,301,338,J.J. Abrams tried something different but it did not fully work out.,neutral
107,319,309,Average entertainer. Will appeal to fans of Matt Damon mostly.,neutral
108,316,344,A cinematic experience like no other. Denis Villeneuve outdid himself completely.,positive
109,136,377,The story was gripping from start to finish. Loved every single minute.,positive
110,230,452,Ben Affleck was magnetic on screen. Could not take my eyes off the film.,positive
111,173,273,"Poor writing, poor direction, poor editing. Nothing works in this film.",negative
112,407,173,Hrithik Roshan delivered a career-best performance. An absolute must-watch!,positive
113,290,74,Suriya was good but the screenplay really needed more work overall.,neutral
114,206,482,Watched it twice already and loved it both times. Pure gold!,positive
115,451,322,Some brilliant scenes but overall just average cinema fare.,neutral
116,388,293,Decent effort from the team but falls short of high expectations.,neutral
117,22,426,Mixed feelings about this one. Has its moments but falls short.,neutral
118,240,204,Salman Khan was magnetic on screen. Could not take my eyes off the film.,positive
119,100,55,Great entertainment with a strong emotional core. Highly loved it.,positive
120,168,48,Decent movie but not the best I have seen this year. Average overall.,neutral
121,345,103,Terrible pacing and very weak characters. Would not recommend to anyone.,negative
122,380,500,Heart-touching story with incredible acting. A film for the ages.,positive
123,353,158,Some brilliant scenes but overall just average cinema fare.,neutral
124,435,203,Watched it twice already and loved it both times. Pure gold!,positive
125,143,439,One of the most enjoyable films of the year. Simply superb work!,positive
126,465,408,Brilliant direction by Scott Derrickson. A true masterpiece of cinema.,positive
127,189,268,Chris Evans tried hard but the script was absolutely terrible to work with.,negative
128,285,51,The first half was engaging but the second half lost momentum.,neutral
129,63,181,It was okay. Some parts were good but the film felt a bit too long.,neutral
130,53,195,Heart-touching story with incredible acting. A film for the ages.,positive
131,486,379,Okay for a one-time watch. Nothing very memorable about the story.,neutral
132,227,67,Mahesh Babu delivered a career-best performance. An absolute must-watch!,positive
133,251,359,Watched it twice already and loved it both times. Pure gold!,positive
134,435,9,One of the most enjoyable films of the year. Simply superb work!,positive
135,84,235,"Poor writing, poor direction, poor editing. Nothing works in this film.",negative
136,71,92,This is what cinema is all about. Prabhas at his absolute best.,positive
137,59,1,Absolutely loved this movie! Ram Charan was outstanding in every scene.,positive
138,87,378,Great entertainment with a strong emotional core. Highly loved it.,positive
139,328,335,This movie completely blew my mind. Martin Scorsese is a true genius.,positive
140,86,338,J.J. Abrams completely lost the plot here. A massive disappointment.,negative
141,470,159,The story was gripping from start to finish. Loved every single minute.,positive
142,71,66,Not bad but had some noticeable pacing issues in the second half.,neutral
143,302,193,Heart-touching story with incredible acting. A film for the ages.,positive
144,295,493,Boring and completely predictable. Totally wasted my time and money.,negative
145,199,230,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
146,276,124,The story was gripping from start to finish. Loved every single minute.,positive
147,77,177,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
148,339,303,One of the most enjoyable films of the year. Simply superb work!,positive
149,431,379,Great entertainment with a strong emotional core. Highly loved it.,positive
150,177,360,Mixed feelings about this one. Has its moments but falls short.,neutral
151,399,138,One of the best films I have seen in years. Highly recommended to everyone!,positive
152,370,293,Absolutely loved this movie! Tom Cruise was outstanding in every scene.,positive
153,206,460,Zachary Levi was magnetic on screen. Could not take my eyes off the film.,positive
154,201,457,Absolutely loved this movie! Jason Momoa was outstanding in every scene.,positive
155,242,472,One of the best films I have seen in years. Highly recommended to everyone!,positive
156,101,322,Decent movie but not the best I have seen this year. Average overall.,neutral
157,481,11,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
158,362,296,Denis Villeneuve tried something different but it did not fully work out.,neutral
159,348,203,Aamir Khan delivered a career-best performance. An absolute must-watch!,positive
160,291,125,Great entertainment with a strong emotional core. Highly loved it.,positive
161,483,220,The plot made absolutely no sense. Very confusing and excessively boring.,negative
162,400,260,Heart-touching story with incredible acting. A film for the ages.,positive
163,412,218,The story was gripping from start to finish. Loved every single minute.,positive
164,258,232,Watched it twice already and loved it both times. Pure gold!,positive
165,274,102,Mahesh Babu delivered a career-best performance. An absolute must-watch!,positive
166,264,280,Okay for a one-time watch. Nothing very memorable about the story.,neutral
167,38,216,Overrated and underwhelming. Not worth all the hype it received at all.,negative
168,268,420,The story was gripping from start to finish. Loved every single minute.,positive
169,294,79,Prabhas was magnetic on screen. Could not take my eyes off the film.,positive
170,151,251,One of the best films I have seen in years. Highly recommended to everyone!,positive
171,223,28,Some good moments scattered throughout but overall just mediocre.,neutral
172,261,190,This is what cinema is all about. Akshay Kumar at his absolute best.,positive
173,484,460,Zachary Levi was magnetic on screen. Could not take my eyes off the film.,positive
174,296,210,Varun Dhawan delivered a career-best performance. An absolute must-watch!,positive
175,94,462,A cinematic experience like no other. Todd Phillips outdid himself completely.,positive
176,126,51,Decent effort from the team but falls short of high expectations.,neutral
177,187,104,Mixed feelings about this one. Has its moments but falls short.,neutral
178,306,114,Good acting but the story could have been developed much better.,neutral
179,243,441,Brilliant direction by Andy Muschietti. A true masterpiece of cinema.,positive
180,314,408,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
181,145,463,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
182,381,103,The plot made absolutely no sense. Very confusing and excessively boring.,negative
183,67,41,Fantastic movie with brilliant performances from the entire cast.,positive
184,63,471,Watchable once but nothing particularly extraordinary about it.,neutral
185,71,100,This movie completely blew my mind. S.S. Rajamouli is a true genius.,positive
186,100,369,Robert Downey Jr delivered a career-best performance. An absolute must-watch!,positive
187,222,307,One of the best films I have seen in years. Highly recommended to everyone!,positive
188,373,22,The story was gripping from start to finish. Loved every single minute.,positive
189,39,471,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
190,436,408,Chris Evans delivered a career-best performance. An absolute must-watch!,positive
191,208,356,Paul Rudd was magnetic on screen. Could not take my eyes off the film.,positive
192,213,182,A cinematic experience like no other. Rohit Shetty outdid himself completely.,positive
193,161,363,Chris Evans was magnetic on screen. Could not take my eyes off the film.,positive
194,224,129,Great entertainment with a strong emotional core. Highly loved it.,positive
195,98,134,Ajith Kumar delivered a career-best performance. An absolute must-watch!,positive
196,82,237,Decent movie but not the best I have seen this year. Average overall.,neutral
197,499,269,This movie completely blew my mind. Ridley Scott is a true genius.,positive
198,98,491,Fantastic movie with brilliant performances from the entire cast.,positive
199,487,332,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
200,146,484,This is what cinema is all about. Margot Robbie at his absolute best.,positive
201,258,444,Gal Gadot was magnetic on screen. Could not take my eyes off the film.,positive
202,263,201,Watchable once but nothing particularly extraordinary about it.,neutral
203,153,135,Mixed feelings about this one. Has its moments but falls short.,neutral
204,175,228,The story was gripping from start to finish. Loved every single minute.,positive
205,498,462,One of the most enjoyable films of the year. Simply superb work!,positive
206,118,169,Kabir Khan tried something different but it did not fully work out.,neutral
207,420,284,Amazing visual effects and a powerful emotional story. Gave it 10 out of 10.,positive
208,168,275,Brilliant direction by Steven Spielberg. A true masterpiece of cinema.,positive
209,434,155,The story was gripping from start to finish. Loved every single minute.,positive
210,350,288,Heart-touching story with incredible acting. A film for the ages.,positive
211,50,391,Good acting but the story could have been developed much better.,neutral
